file_id,section_id,local_readme_file,heading_markdown,section_code
1,1,1gitGrey.dotfiles-2.md,# holman does dotfiles,3
1,2,1gitGrey.dotfiles-2.md,## dotfiles,
1,3,1gitGrey.dotfiles-2.md,## install,3
1,4,1gitGrey.dotfiles-2.md,## topical,3
1,5,1gitGrey.dotfiles-2.md,## what's inside,
1,6,1gitGrey.dotfiles-2.md,## components,3
1,7,1gitGrey.dotfiles-2.md,## bugs,3
1,8,1gitGrey.dotfiles-2.md,## thanks,3
2,1,2917.Readmore.js.md,# Readmore.js,"1,3"
2,2,2917.Readmore.js.md,## Install,3
2,3,2917.Readmore.js.md,## Use,3
2,4,2917.Readmore.js.md,### The options:,3
2,5,2917.Readmore.js.md,### The callbacks:,"3,6"
2,6,2917.Readmore.js.md,#### Callback example:,"3,6"
2,7,2917.Readmore.js.md,### Removing Readmore:,3
2,8,2917.Readmore.js.md,### Toggling blocks programmatically:,3
2,9,2917.Readmore.js.md,## CSS:,3
2,10,2917.Readmore.js.md,### Media queries and other CSS tricks:,3
2,11,2917.Readmore.js.md,## Contributing,7
3,1,2ndQuadrantrepmgrmasterREADME.md.md,# repmgr: Replication Manager for PostgreSQL,1
3,2,2ndQuadrantrepmgrmasterREADME.md.md,## Documentation,6
3,3,2ndQuadrantrepmgrmasterREADME.md.md,## Versions,"3,6"
3,4,2ndQuadrantrepmgrmasterREADME.md.md,## Files,4
3,5,2ndQuadrantrepmgrmasterREADME.md.md,## Directories,3
3,6,2ndQuadrantrepmgrmasterREADME.md.md,## Support and Assistance,"5,6"
3,7,2ndQuadrantrepmgrmasterREADME.md.md,## Further reading,"1,6"
4,1,3rinN3lson.ai-tree-plugin.md,# AI Tree Plugin,"1,3"
4,2,3rinN3lson.ai-tree-plugin.md,## Versions:,4
4,3,3rinN3lson.ai-tree-plugin.md,## Files/Folders:,3
4,4,3rinN3lson.ai-tree-plugin.md,## Description:,1
4,5,3rinN3lson.ai-tree-plugin.md,## Examples,"3,6"
4,6,3rinN3lson.ai-tree-plugin.md,### Barrel Example,3
4,7,3rinN3lson.ai-tree-plugin.md,### Flocking Example,"1,3"
4,8,3rinN3lson.ai-tree-plugin.md,## How to Include:,-
4,9,3rinN3lson.ai-tree-plugin.md,### Loading the Plugin,"3,6"
4,10,3rinN3lson.ai-tree-plugin.md,### Creating Nodes,3
4,11,3rinN3lson.ai-tree-plugin.md,## Theory of AI Tree Construction,1
4,12,3rinN3lson.ai-tree-plugin.md,### Status Signals,3
4,13,3rinN3lson.ai-tree-plugin.md,#### Denotation,"1,3"
4,14,3rinN3lson.ai-tree-plugin.md,### Inner Nodes,3
4,15,3rinN3lson.ai-tree-plugin.md,#### Selector,3
4,16,3rinN3lson.ai-tree-plugin.md,#### Sequencer,3
4,17,3rinN3lson.ai-tree-plugin.md,#### UntilSuccess,3
4,18,3rinN3lson.ai-tree-plugin.md,#### UntilFailure,3
4,19,3rinN3lson.ai-tree-plugin.md,#### TimeLoop,3
4,20,3rinN3lson.ai-tree-plugin.md,#### TimeTrial,"3,6"
4,21,3rinN3lson.ai-tree-plugin.md,### Outer Nodes,"1,3"
4,22,3rinN3lson.ai-tree-plugin.md,#### Success,3
4,23,3rinN3lson.ai-tree-plugin.md,#### Failure,3
4,24,3rinN3lson.ai-tree-plugin.md,#### Counter,3
4,25,3rinN3lson.ai-tree-plugin.md,### Advanced Features,"1,6"
4,26,3rinN3lson.ai-tree-plugin.md,#### Shuffle Children,3
4,27,3rinN3lson.ai-tree-plugin.md,#### Running Status,3
4,28,3rinN3lson.ai-tree-plugin.md,#### Inverters,3
4,29,3rinN3lson.ai-tree-plugin.md,#### Multi-Parenting,"1,3"
4,30,3rinN3lson.ai-tree-plugin.md,## Acknowledgements and Resources,6
5,1,407390911.jQuery.md,## jQuery架构设计与实现（2.1.4版本）,-
5,2,407390911.jQuery.md,### ,-
5,3,407390911.jQuery.md,###  本书围绕的几个核心点：,"-,4"
5,4,407390911.jQuery.md,### 第一章：理解架构,-
5,5,407390911.jQuery.md,### ,4
5,6,407390911.jQuery.md,###  第二章：核心机制(完成),-
5,7,407390911.jQuery.md,###  ,4
5,8,407390911.jQuery.md,###  第三章：回调模型(完成),-
5,9,407390911.jQuery.md,###  ,4
5,10,407390911.jQuery.md,###  第四章：异步编程(完成),-
5,11,407390911.jQuery.md,###  ,4
5,12,407390911.jQuery.md,###  第五章：数据缓存,-
5,13,407390911.jQuery.md,###  ,4
5,14,407390911.jQuery.md,###  第六章：队列操作,-
5,15,407390911.jQuery.md,###  ,4
5,16,407390911.jQuery.md,###  第七章：模块加载,-
5,17,407390911.jQuery.md,###  ,4
5,18,407390911.jQuery.md,###  第八章：选择器引擎,-
5,19,407390911.jQuery.md,###  ,4
5,20,407390911.jQuery.md,###  第九章：节点遍历,-
5,21,407390911.jQuery.md,###  ,4
5,22,407390911.jQuery.md,###  第十章：文档处理,-
5,23,407390911.jQuery.md,###  ,4
5,24,407390911.jQuery.md,###  第十一章：样式操作,-
5,25,407390911.jQuery.md,###  ,4
5,26,407390911.jQuery.md,###  第十二章：属性操作,-
5,27,407390911.jQuery.md,###  ,4
5,28,407390911.jQuery.md,###  第十三章：事件体系,-
5,29,407390911.jQuery.md,###  ,4
5,30,407390911.jQuery.md,###  第十四章：AJAX交互,-
5,31,407390911.jQuery.md,###  ,4
5,32,407390911.jQuery.md,###  第十五章：动画引擎,-
5,33,407390911.jQuery.md,###  ,4
5,34,407390911.jQuery.md,## 	,-
6,1,40a.hub.md,# git + hub = github,3
6,2,40a.hub.md,# expands to:,3
6,3,40a.hub.md,## Installation,3
6,4,40a.hub.md,#### Homebrew,3
6,5,40a.hub.md,#### Standalone,"1,3"
6,6,40a.hub.md,#### Source,3
6,7,40a.hub.md,# Assuming `~/bin` is in your PATH:,-
6,8,40a.hub.md,## Aliasing,3
6,9,40a.hub.md,### Shell tab-completion,3
6,10,40a.hub.md,## Meta,5
6,11,40a.hub.md,### Prior art,
7,1,4nakin.NewsBlur.md,# NewsBlur,"1,5,6"
7,2,4nakin.NewsBlur.md,## Features,1
7,3,4nakin.NewsBlur.md,## Technologies,-
7,4,4nakin.NewsBlur.md,### Server-side,1
7,5,4nakin.NewsBlur.md,### Client-side and design,1
7,6,4nakin.NewsBlur.md,## Installation Instructions,3
7,7,4nakin.NewsBlur.md,### Prerequisites,3
7,8,4nakin.NewsBlur.md,"#### Relational Database (MySQL, PostgreSQL)",3
7,9,4nakin.NewsBlur.md,#### Fabric ,3
7,10,4nakin.NewsBlur.md,#### MongoDB,3
7,11,4nakin.NewsBlur.md,#### Numpy and Scipy,3
7,12,4nakin.NewsBlur.md,#### Other assorted packages,3
7,13,4nakin.NewsBlur.md,### Configure paths,3
7,14,4nakin.NewsBlur.md,### Installing on Mac OS X,3
7,15,4nakin.NewsBlur.md,### Installing on Linux / Ubuntu,3
7,16,4nakin.NewsBlur.md,### Finishing Installation,3
7,17,4nakin.NewsBlur.md,#### App server,3
7,18,4nakin.NewsBlur.md,#### Database server,"1,3"
7,19,4nakin.NewsBlur.md,#### Task server,"1,3"
7,20,4nakin.NewsBlur.md,## Keeping NewsBlur Running,3
7,21,4nakin.NewsBlur.md,### Fetching feeds,3
7,22,4nakin.NewsBlur.md,### Feedback,"1,5"
7,23,4nakin.NewsBlur.md,### Statistics,
7,24,4nakin.NewsBlur.md,### Running unit and integration tests,3
7,25,4nakin.NewsBlur.md,## Author,5
7,26,4nakin.NewsBlur.md,## License,5
8,1,741162830qq.MobileProject.md,# MobileProject,4
9,1,920496044.ArduGuitar.md,# The ArduGuitar ,"1,4"
9,2,920496044.ArduGuitar.md,## ,-
