local_readme_file,section_codes_in_file,codes_not_in_file
1gitGrey.dotfiles-2.md,",3","1,4,5,6,7,8"
2917.Readmore.js.md,"1,3,6,7","4,5,8"
2ndQuadrantrepmgrmasterREADME.md.md,"1,3,4,5,6","7,8"
3rinN3lson.ai-tree-plugin.md,"-,1,3,4,6","5,7,8"
40a.hub.md,",-,1,3,5","4,6,7,8"
4nakin.NewsBlur.md,",-,1,3,5,6","4,7,8"
741162830qq.MobileProject.md,4,"1,3,5,6,7,8"
920496044.ArduGuitar.md,"-,1,4","3,5,6,7,8"
aaksoopenshiftansiblemasterREADME....md,",1,3,6","4,5,7,8"
aammd.metacom.md,"1,3","4,5,6,7,8"
abhisheksprakash.ServiceStack.md,",-,1,3,5,6,7","4,8"
aboks.PHP_CodeSniffer.md,"1,3,6,7","4,5,8"
adamjerickson.gitbook.md,"1,3,5,6","4,7,8"
adepue.moto.md,"-,1,3,5","4,6,7,8"
adover.frontend.md,",-,1,3,5,6","4,7,8"
adtools.clib2.md,",-,1,3,5,6","4,7,8"
afeld.type-is.md,"1,3,5,6","4,7,8"
agiza.heartbeat.md,"1,3,5,6","4,7,8"
agrede.SAMIS.md,",3,6","1,4,5,7,8"
Ahmad-me.osmbonuspack.md,"-,1,3,5,6","4,7,8"
ahmedbodi.solarcoin.md,"1,3,4,5,6,7",8
ahmedkato.countly-server.md,",1,3,6,7","4,5,8"
ahojlax.angularjs.md,",1,3,6","4,5,7,8"
airdesigns1.mobile-samples.md,"3,5,6,7","1,4,8"
ajcrowe.pubsubbeat.md,"3,6","1,4,5,7,8"
ajiangcn.Probabilistic-Programming-and-Bayesian-Methods-for-Hackers.md,",1,3,5,6,7","4,8"
ajita.jnode.md,"-,1,3","4,5,6,7,8"
akerekes.redis-collectd-plugin.md,"1,3","4,5,6,7,8"
AKMCC-hub.codeigniter-oauth2-server.md,"-,1,3,5","4,6,7,8"
akorneevscalaloggingmasterREADME.md.md,",3,5,7","1,4,6,8"
akshay12489.StupidPetTricks_I.md,"-,3,6,8","1,4,5,7"
akshaydashrath.sms-backup-plus.md,",1,3,5,6,7,8",4
Alan0147.android-samples.md,"1,3,5,6","4,7,8"
alanszp.marvel.md,"1,3,5","4,6,7,8"
aleksyssublimetext_indentxmlmaster....md,"1,3,5,6","4,7,8"
alepezLiveReloadsublimetext3master....md,"1,3,5,6","4,7,8"
Alex-Bubblemaster.ASP.NET-MVC.md,",-,1,3,6","4,5,7,8"
AlexanderKovachev.SharpSapRfc.md,"-,1,3,6","4,5,7,8"
alexgbherokubuildpackmultimaster....md,5,"1,3,4,6,7,8"
alexpts.php-routing.md,"-,3,6","1,4,5,7,8"
alexvane.BaiduPanDownloadWpf.md,",1,3","4,5,6,7,8"
alienhardSublimeAllAutocompletemaster....md,"3,5","1,4,6,7,8"
alirezarahmani.jquery-cookie.md,"3,4,5,6,7,8",1
allureframeworkallure1masterREADME.....md,"1,5,6","3,4,7,8"
alvarosperez.Mining-the-Social-Web-2nd-Edition.md,"1,3,6","4,5,7,8"
ALYREZA.docker-dns-ad-blocker.md,",-,1,3,6","4,5,7,8"
AmrSolimanlaravelsitemapmaster....md,"1,3,6","4,5,7,8"
amykatenicho.IoTWorkshop.md,",-,1,3,6","4,5,7,8"
anaderi.FairSoft.md,"3,4,6","1,5,7,8"
analytically.slack-express.md,"1,3,6","4,5,7,8"
AnBucyk.cordova-samples.md,",-,1,5,6","3,4,7,8"
andforce.AndroidSlidingUpPanel.md,"-,1,3,4,5,6,7",8
andrefauth.HtmlPhpExcel.md,"1,3,4,5,6","7,8"
andrewoshopenshiftsdnmaster....md,"1,3,6","4,5,7,8"
andru255.Effect-Games.md,",1,3,5","4,6,7,8"
aniXification.platform.md,"-,1,3,4,6,7","5,8"
ankitshah009.scikit-learn-videos.md,"1,6","3,4,5,7,8"
annacapa.bootstrap.md,",1,3,4,5,6,7",8
ansibleansiblenavigatormainREADME.md.md,",3,5,6","1,4,7,8"
ansiblecommunityansiblebuilddatamain....md,"1,4","3,5,6,7,8"
anupash.privseams.md,"1,3,6","4,5,7,8"
aoben10.Popular-movies.md,",-,1,3,5,6","4,7,8"
apm20.PDO_Pagination.md,3,"1,4,5,6,7,8"
apurbana.ExData_Plotting1.md,"1,3,6","4,5,7,8"
