file_id,section_id,local_readme_file,heading_markdown,,section_code
1,1,1gitGrey.dotfiles-2.md,# holman does dotfiles,1gitGrey.dotfiles-2.md# holman does dotfiles,3
1,2,1gitGrey.dotfiles-2.md,## dotfiles,1gitGrey.dotfiles-2.md## dotfiles,
1,3,1gitGrey.dotfiles-2.md,## install,1gitGrey.dotfiles-2.md## install,3
1,4,1gitGrey.dotfiles-2.md,## topical,1gitGrey.dotfiles-2.md## topical,3
1,5,1gitGrey.dotfiles-2.md,## what's inside,1gitGrey.dotfiles-2.md## what's inside,
1,6,1gitGrey.dotfiles-2.md,## components,1gitGrey.dotfiles-2.md## components,3
1,7,1gitGrey.dotfiles-2.md,## bugs,1gitGrey.dotfiles-2.md## bugs,3
1,8,1gitGrey.dotfiles-2.md,## thanks,1gitGrey.dotfiles-2.md## thanks,3
2,1,2917.Readmore.js.md,# Readmore.js,2917.Readmore.js.md# Readmore.js,"1,3"
2,2,2917.Readmore.js.md,## Install,2917.Readmore.js.md## Install,3
2,3,2917.Readmore.js.md,## Use,2917.Readmore.js.md## Use,3
2,4,2917.Readmore.js.md,### The options:,2917.Readmore.js.md### The options:,3
2,5,2917.Readmore.js.md,### The callbacks:,2917.Readmore.js.md### The callbacks:,"3,6"
2,6,2917.Readmore.js.md,#### Callback example:,2917.Readmore.js.md#### Callback example:,"3,6"
2,7,2917.Readmore.js.md,### Removing Readmore:,2917.Readmore.js.md### Removing Readmore:,3
2,8,2917.Readmore.js.md,### Toggling blocks programmatically:,2917.Readmore.js.md### Toggling blocks programmatically:,3
2,9,2917.Readmore.js.md,## CSS:,2917.Readmore.js.md## CSS:,3
2,10,2917.Readmore.js.md,### Media queries and other CSS tricks:,2917.Readmore.js.md### Media queries and other CSS tricks:,3
2,11,2917.Readmore.js.md,## Contributing,2917.Readmore.js.md## Contributing,7
3,1,2ndQuadrantrepmgrmasterREADME.md.md,# repmgr: Replication Manager for PostgreSQL,2ndQuadrantrepmgrmasterREADME.md.md# repmgr: Replication Manager for PostgreSQL,1
3,2,2ndQuadrantrepmgrmasterREADME.md.md,## Documentation,2ndQuadrantrepmgrmasterREADME.md.md## Documentation,6
3,3,2ndQuadrantrepmgrmasterREADME.md.md,## Versions,2ndQuadrantrepmgrmasterREADME.md.md## Versions,"3,6"
3,4,2ndQuadrantrepmgrmasterREADME.md.md,## Files,2ndQuadrantrepmgrmasterREADME.md.md## Files,4
3,5,2ndQuadrantrepmgrmasterREADME.md.md,## Directories,2ndQuadrantrepmgrmasterREADME.md.md## Directories,3
3,6,2ndQuadrantrepmgrmasterREADME.md.md,## Support and Assistance,2ndQuadrantrepmgrmasterREADME.md.md## Support and Assistance,"5,6"
3,7,2ndQuadrantrepmgrmasterREADME.md.md,## Further reading,2ndQuadrantrepmgrmasterREADME.md.md## Further reading,"1,6"
4,1,3rinN3lson.ai-tree-plugin.md,# AI Tree Plugin,3rinN3lson.ai-tree-plugin.md# AI Tree Plugin,"1,3"
4,2,3rinN3lson.ai-tree-plugin.md,## Versions:,3rinN3lson.ai-tree-plugin.md## Versions:,4
4,3,3rinN3lson.ai-tree-plugin.md,## Files/Folders:,3rinN3lson.ai-tree-plugin.md## Files/Folders:,3
4,4,3rinN3lson.ai-tree-plugin.md,## Description:,3rinN3lson.ai-tree-plugin.md## Description:,1
4,5,3rinN3lson.ai-tree-plugin.md,## Examples,3rinN3lson.ai-tree-plugin.md## Examples,"3,6"
4,6,3rinN3lson.ai-tree-plugin.md,### Barrel Example,3rinN3lson.ai-tree-plugin.md### Barrel Example,3
4,7,3rinN3lson.ai-tree-plugin.md,### Flocking Example,3rinN3lson.ai-tree-plugin.md### Flocking Example,"1,3"
4,8,3rinN3lson.ai-tree-plugin.md,## How to Include:,3rinN3lson.ai-tree-plugin.md## How to Include:,-
4,9,3rinN3lson.ai-tree-plugin.md,### Loading the Plugin,3rinN3lson.ai-tree-plugin.md### Loading the Plugin,"3,6"
4,10,3rinN3lson.ai-tree-plugin.md,### Creating Nodes,3rinN3lson.ai-tree-plugin.md### Creating Nodes,3
4,11,3rinN3lson.ai-tree-plugin.md,## Theory of AI Tree Construction,3rinN3lson.ai-tree-plugin.md## Theory of AI Tree Construction,1
4,12,3rinN3lson.ai-tree-plugin.md,### Status Signals,3rinN3lson.ai-tree-plugin.md### Status Signals,3
4,13,3rinN3lson.ai-tree-plugin.md,#### Denotation,3rinN3lson.ai-tree-plugin.md#### Denotation,"1,3"
4,14,3rinN3lson.ai-tree-plugin.md,### Inner Nodes,3rinN3lson.ai-tree-plugin.md### Inner Nodes,3
4,15,3rinN3lson.ai-tree-plugin.md,#### Selector,3rinN3lson.ai-tree-plugin.md#### Selector,3
4,16,3rinN3lson.ai-tree-plugin.md,#### Sequencer,3rinN3lson.ai-tree-plugin.md#### Sequencer,3
4,17,3rinN3lson.ai-tree-plugin.md,#### UntilSuccess,3rinN3lson.ai-tree-plugin.md#### UntilSuccess,3
4,18,3rinN3lson.ai-tree-plugin.md,#### UntilFailure,3rinN3lson.ai-tree-plugin.md#### UntilFailure,3
4,19,3rinN3lson.ai-tree-plugin.md,#### TimeLoop,3rinN3lson.ai-tree-plugin.md#### TimeLoop,3
4,20,3rinN3lson.ai-tree-plugin.md,#### TimeTrial,3rinN3lson.ai-tree-plugin.md#### TimeTrial,"3,6"
4,21,3rinN3lson.ai-tree-plugin.md,### Outer Nodes,3rinN3lson.ai-tree-plugin.md### Outer Nodes,"1,3"
4,22,3rinN3lson.ai-tree-plugin.md,#### Success,3rinN3lson.ai-tree-plugin.md#### Success,3
4,23,3rinN3lson.ai-tree-plugin.md,#### Failure,3rinN3lson.ai-tree-plugin.md#### Failure,3
4,24,3rinN3lson.ai-tree-plugin.md,#### Counter,3rinN3lson.ai-tree-plugin.md#### Counter,3
4,25,3rinN3lson.ai-tree-plugin.md,### Advanced Features,3rinN3lson.ai-tree-plugin.md### Advanced Features,"1,6"
4,26,3rinN3lson.ai-tree-plugin.md,#### Shuffle Children,3rinN3lson.ai-tree-plugin.md#### Shuffle Children,3
4,27,3rinN3lson.ai-tree-plugin.md,#### Running Status,3rinN3lson.ai-tree-plugin.md#### Running Status,3
4,28,3rinN3lson.ai-tree-plugin.md,#### Inverters,3rinN3lson.ai-tree-plugin.md#### Inverters,3
4,29,3rinN3lson.ai-tree-plugin.md,#### Multi-Parenting,3rinN3lson.ai-tree-plugin.md#### Multi-Parenting,"1,3"
4,30,3rinN3lson.ai-tree-plugin.md,## Acknowledgements and Resources,3rinN3lson.ai-tree-plugin.md## Acknowledgements and Resources,6
5,1,40a.hub.md,# git + hub = github,40a.hub.md# git + hub = github,3
5,2,40a.hub.md,# expands to:,40a.hub.md# expands to:,3
5,3,40a.hub.md,## Installation,40a.hub.md## Installation,3
5,4,40a.hub.md,#### Homebrew,40a.hub.md#### Homebrew,3
5,5,40a.hub.md,#### Standalone,40a.hub.md#### Standalone,"1,3"
5,6,40a.hub.md,#### Source,40a.hub.md#### Source,3
5,7,40a.hub.md,# Assuming `~/bin` is in your PATH:,40a.hub.md# Assuming `~/bin` is in your PATH:,-
5,8,40a.hub.md,## Aliasing,40a.hub.md## Aliasing,3
5,9,40a.hub.md,### Shell tab-completion,40a.hub.md### Shell tab-completion,3
5,10,40a.hub.md,## Meta,40a.hub.md## Meta,5
5,11,40a.hub.md,### Prior art,40a.hub.md### Prior art,
6,1,4nakin.NewsBlur.md,# NewsBlur,4nakin.NewsBlur.md# NewsBlur,"1,5,6"
6,2,4nakin.NewsBlur.md,## Features,4nakin.NewsBlur.md## Features,1
6,3,4nakin.NewsBlur.md,## Technologies,4nakin.NewsBlur.md## Technologies,-
6,4,4nakin.NewsBlur.md,### Server-side,4nakin.NewsBlur.md### Server-side,1
6,5,4nakin.NewsBlur.md,### Client-side and design,4nakin.NewsBlur.md### Client-side and design,1
6,6,4nakin.NewsBlur.md,## Installation Instructions,4nakin.NewsBlur.md## Installation Instructions,3
6,7,4nakin.NewsBlur.md,### Prerequisites,4nakin.NewsBlur.md### Prerequisites,3
6,8,4nakin.NewsBlur.md,"#### Relational Database (MySQL, PostgreSQL)","4nakin.NewsBlur.md#### Relational Database (MySQL, PostgreSQL)",3
6,9,4nakin.NewsBlur.md,#### Fabric ,4nakin.NewsBlur.md#### Fabric ,3
6,10,4nakin.NewsBlur.md,#### MongoDB,4nakin.NewsBlur.md#### MongoDB,3
6,11,4nakin.NewsBlur.md,#### Numpy and Scipy,4nakin.NewsBlur.md#### Numpy and Scipy,3
6,12,4nakin.NewsBlur.md,#### Other assorted packages,4nakin.NewsBlur.md#### Other assorted packages,3
6,13,4nakin.NewsBlur.md,### Configure paths,4nakin.NewsBlur.md### Configure paths,3
6,14,4nakin.NewsBlur.md,### Installing on Mac OS X,4nakin.NewsBlur.md### Installing on Mac OS X,3
6,15,4nakin.NewsBlur.md,### Installing on Linux / Ubuntu,4nakin.NewsBlur.md### Installing on Linux / Ubuntu,3
6,16,4nakin.NewsBlur.md,### Finishing Installation,4nakin.NewsBlur.md### Finishing Installation,3
6,17,4nakin.NewsBlur.md,#### App server,4nakin.NewsBlur.md#### App server,3
6,18,4nakin.NewsBlur.md,#### Database server,4nakin.NewsBlur.md#### Database server,"1,3"
6,19,4nakin.NewsBlur.md,#### Task server,4nakin.NewsBlur.md#### Task server,"1,3"
6,20,4nakin.NewsBlur.md,## Keeping NewsBlur Running,4nakin.NewsBlur.md## Keeping NewsBlur Running,3
6,21,4nakin.NewsBlur.md,### Fetching feeds,4nakin.NewsBlur.md### Fetching feeds,3
6,22,4nakin.NewsBlur.md,### Feedback,4nakin.NewsBlur.md### Feedback,"1,5"
6,23,4nakin.NewsBlur.md,### Statistics,4nakin.NewsBlur.md### Statistics,
6,24,4nakin.NewsBlur.md,### Running unit and integration tests,4nakin.NewsBlur.md### Running unit and integration tests,3
6,25,4nakin.NewsBlur.md,## Author,4nakin.NewsBlur.md## Author,5
6,26,4nakin.NewsBlur.md,## License,4nakin.NewsBlur.md## License,5
7,1,741162830qq.MobileProject.md,# MobileProject,741162830qq.MobileProject.md# MobileProject,4
8,1,920496044.ArduGuitar.md,# The ArduGuitar ,920496044.ArduGuitar.md# The ArduGuitar ,"1,4"
8,2,920496044.ArduGuitar.md,## ,920496044.ArduGuitar.md## ,-
8,3,920496044.ArduGuitar.md,## Now ready to move on to Ardu2 !,920496044.ArduGuitar.md## Now ready to move on to Ardu2 !,1
8,4,920496044.ArduGuitar.md,## ,920496044.ArduGuitar.md## ,-
9,1,aaksoopenshiftansiblemasterREADME....md,# AWS Setup Instructions,aaksoopenshiftansiblemasterREADME....md# AWS Setup Instructions,3
9,2,aaksoopenshiftansiblemasterREADME....md,## Get AWS API credentials,aaksoopenshiftansiblemasterREADME....md## Get AWS API credentials,"1,3"
9,3,aaksoopenshiftansiblemasterREADME....md,## Create a credentials file,aaksoopenshiftansiblemasterREADME....md## Create a credentials file,3
