file_id,section_id,local_readme_file,heading_markdown,section_code
2,1,342450024.lib-flexible.md,#lib.flexible,-
2,2,342450024.lib-flexible.md,## Update\xe3\x80?2016年01月13日】,-
2,3,342450024.lib-flexible.md,## 最新版本,"-,4"
2,4,342450024.lib-flexible.md,## 用Grunt打包,-
2,5,342450024.lib-flexible.md,## \xe4\xbe?赖库,-
2,6,342450024.lib-flexible.md,## 使用方法,-
2,7,342450024.lib-flexible.md,## 把视觉稿中的px转\xe6?\xa2\xe6\x88?rem,-
2,8,342450024.lib-flexible.md,## 字体\xe4\xb8?使用rem的方法,-
2,9,342450024.lib-flexible.md,### 手动\xe9\x85?置dpr,-
2,10,342450024.lib-flexible.md,### 手动设置rem基准值的方法,-
2,11,342450024.lib-flexible.md,### 一些常用APIs,-
2,12,342450024.lib-flexible.md,## 栅格系统,-
2,13,342450024.lib-flexible.md,### 需引入makegrid.js,-
2,14,342450024.lib-flexible.md,### 使用方法,-
2,15,342450024.lib-flexible.md,### 利用meta输出栅格样\xe5\xbc?,-
2,16,342450024.lib-flexible.md,### 栅格代\xe7\xa0?举例,-
2,17,342450024.lib-flexible.md,### 四类栅格在\xe4\xb8?\xe5?\x8c手机上的表现,-
3,1,aboutcode.vue2-elm.md,# \xe5\x89?言,-
3,2,aboutcode.vue2-elm.md,## 技术栈,-
3,3,aboutcode.vue2-elm.md,## 关于 数\xe6?\xae接\xe5?\xa3 的说明🤔,-
3,4,aboutcode.vue2-elm.md,### 2017-05-30,
3,5,aboutcode.vue2-elm.md,## 项目\xe8\xbf?行,-
3,6,aboutcode.vue2-elm.md,#### 注\xe6\x84?：由于涉\xe5?\x8a大\xe9\x87?的 ES6/7 等新属性，nodejs 必须是 6.0 以上版本 ，node 7 是先行版，有\xe5?\xaf能会出问题，建议使用 node 6 稳定版,-
3,7,aboutcode.vue2-elm.md,# 说明,-
3,8,aboutcode.vue2-elm.md,# 效果演示,-
3,9,aboutcode.vue2-elm.md,### 移动端扫\xe6??下方二维\xe7\xa0?,-
3,10,aboutcode.vue2-elm.md,# 目标功能,-
3,11,aboutcode.vue2-elm.md,# 总结,-
3,12,aboutcode.vue2-elm.md,# 最终目标,-
3,13,aboutcode.vue2-elm.md,# 部分截图,-
3,14,aboutcode.vue2-elm.md,### 商铺列表页,-
3,15,aboutcode.vue2-elm.md,### 商铺筛选页,-
3,16,aboutcode.vue2-elm.md,### \xe9\xa4?馆食\xe5\x93?列表与购物车,-
3,17,aboutcode.vue2-elm.md,### 确认订\xe5?\x95页,-
3,18,aboutcode.vue2-elm.md,### \xe6?\x9c索页,-
3,19,aboutcode.vue2-elm.md,### 登录页,-
3,20,aboutcode.vue2-elm.md,### 个人中心,-
3,21,aboutcode.vue2-elm.md,# 项目布局,-
3,22,aboutcode.vue2-elm.md,# License,5
4,1,adcentury.open.md,# [open.leancloud.cn](http://open.leancloud.cn/),"-,6"
4,2,adcentury.open.md,## 本地\xe6?\xad建烹饪指\xe5?\x97（简易）,-
4,3,adcentury.open.md,## 维护指\xe5?\x97,-
4,4,adcentury.open.md,### 增加新\xe6?\xa1目,-
4,5,adcentury.open.md,### 更新现有\xe6?\xa1目,-
4,6,adcentury.open.md,### 样\xe5\xbc?\xef\xbc?脚本自定义,-
4,7,adcentury.open.md,### 如何从 Atom feed 中\xe9\x9a?\xe8\x97?文章,-
4,8,adcentury.open.md,## Licenses,"-,5"
5,1,alcyon3.overthebox.md,# OverTheBox,"3,6"
5,2,alcyon3.overthebox.md,## Prerequisites,3
5,3,alcyon3.overthebox.md,## Install from pre-compiled images,3
5,4,alcyon3.overthebox.md,## Install from source,3
5,5,alcyon3.overthebox.md,### Dependencies,3
5,6,alcyon3.overthebox.md,### Prepare,3
5,7,alcyon3.overthebox.md,### Build,3
5,8,alcyon3.overthebox.md,## Credits,5
6,1,alexerwu.RepData_PeerAssessment1.md,## Introduction,1
6,2,alexerwu.RepData_PeerAssessment1.md,## Data,3
6,3,alexerwu.RepData_PeerAssessment1.md,## Assignment,3
6,4,alexerwu.RepData_PeerAssessment1.md,### Loading and preprocessing the data,3
6,5,alexerwu.RepData_PeerAssessment1.md,### What is mean total number of steps taken per day?,3
6,6,alexerwu.RepData_PeerAssessment1.md,### What is the average daily activity pattern?,3
6,7,alexerwu.RepData_PeerAssessment1.md,### Imputing missing values,3
6,8,alexerwu.RepData_PeerAssessment1.md,### Are there differences in activity patterns between weekdays and weekends?,3
6,9,alexerwu.RepData_PeerAssessment1.md,## Submitting the Assignment,3
7,1,algal.ScrollViewUnderlapDemo.md,# What this is,1
7,2,algal.ScrollViewUnderlapDemo.md,# Answer,"1,3"
7,3,algal.ScrollViewUnderlapDemo.md,## what to do,
7,4,algal.ScrollViewUnderlapDemo.md,## what's going on,1
7,5,algal.ScrollViewUnderlapDemo.md,## fighting IB's layout guide mania,3
